Low(£/MWh),High(£/MWh),Last(£/MWh),Weight Avg.(£/MWh)
"-","-","-","-"
"65.70","86.75","74.40","74.32"
"69.01","86.75","80.01","77.42"
"-","-","-","-"
"67.46","88.31","79.00","76.70"
"72.03","98.00","96.99","82.33"
"-","-","-","-"
"70.69","94.81","85.99","81.64"
"39.53","74.48","58.79","67.93"
"-","-","-","-"
"51.02","77.21","57.38","64.22"
"52.21","73.16","58.89","63.34"
"-","-","-","-"
"51.64","72.35","65.00","65.57"
"45.32","69.97","61.00","63.74"
"-","-","-","-"
"31.64","72.50","41.04","63.17"
"29.78","73.49","36.18","56.65"
"-","-","-","-"
"17.40","71.53","41.00","59.37"
"17.42","72.00","41.75","56.51"
"-","-","-","-"
"22.00","75.00","37.01","56.37"
"23.70","79.78","77.45","69.53"
"-","-","-","-"
"25.00","82.86","55.00","67.63"
"30.00","85.29","71.01","75.32"
"-","-","-","-"
"35.05","91.50","77.00","81.57"
"34.00","96.81","75.07","82.95"
"-","-","-","-"
"72.00","88.78","83.98","79.84"
"30.04","89.50","75.95","81.55"
"-","-","-","-"
"53.89","85.65","53.90","77.75"
"27.97","86.00","63.43","68.91"
"-","-","-","-"
"65.38","87.74","80.00","76.65"
"65.00","77.15","70.00","70.93"
"-","-","-","-"
"66.72","83.88","69.02","72.44"
"57.26","76.60","63.00","68.45"
"-","-","-","-"
"65.03","76.07","67.00","71.51"
"59.29","75.68","65.00","68.55"
"-","-","-","-"
"66.39","77.99","70.00","72.60"
"69.01","80.82","76.00","73.80"
"-","-","-","-"
"73.49","93.45","93.00","83.05"
"76.16","94.68","89.00","87.10"
"-","-","-","-"
"60.20","100.00","97.01","93.39"
"64.79","107.31","102.80","97.20"
"-","-","-","-"
"87.42","109.74","105.50","101.12"
"86.74","109.98","100.38","101.93"
"-","-","-","-"
"83.82","106.58","96.74","97.67"
"77.27","98.05","89.00","90.18"
"-","-","-","-"
"63.08","85.96","76.01","79.94"
"72.83","89.81","84.35","81.47"
"-","-","-","-"
"42.49","83.53","61.01","66.72"
"37.32","81.86","57.01","60.63"
"-","-","-","-"
"43.30","91.30","45.00","61.99"
"33.83","75.09","60.00","53.43"
"-","-","-","-"
"21.74","77.94","68.00","52.09"
"24.69","84.00","79.00","46.77"


"-","-","-","-"
"65.70","86.75","74.40","74.32"
"69.01","86.75","80.01","77.42"
"-","-","-","-"
"67.46","88.31","79.00","76.70"
"72.03","98.00","96.99","82.33"
"-","-","-","-"
"70.69","94.81","85.99","81.64"
"39.53","74.48","58.79","67.93"
"-","-","-","-"
"51.02","77.21","57.38","64.22"
"52.21","73.16","58.89","63.34"
"-","-","-","-"
"51.64","72.35","65.00","65.57"
"45.32","69.97","61.00","63.74"
"-","-","-","-"
"31.64","72.50","41.04","63.17"
"29.78","73.49","36.18","56.65"
"-","-","-","-"
"17.40","71.53","41.00","59.37"
"17.42","72.00","41.75","56.51"
"-","-","-","-"
"22.00","75.00","37.01","56.37"
"23.70","79.78","77.45","69.53"
"-","-","-","-"
"25.00","82.86","55.00","67.63"
"30.00","85.29","71.01","75.32"
"-","-","-","-"
"35.05","91.50","77.00","81.57"
"34.00","96.81","75.07","82.95"
"-","-","-","-"
"72.00","88.78","83.98","79.84"
"30.04","89.50","75.95","81.55"
"-","-","-","-"
"53.89","85.65","53.90","77.75"
"27.97","86.00","63.43","68.91"
"-","-","-","-"
"65.38","87.74","80.00","76.65"
"65.00","77.15","70.00","70.93"
